ID_Proyecto;Fecha_Reporte;Cod_Partida;Nombre_Partida;Categoria_partida;MP;MV;AC;VP;VV
CSCH-2024;1/11/2024;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;167439.34;;
CSCH-2024;1/12/2024;        1100 -   PRELIMINARES;OBRA;OBRA;83069.42;137545.43;133070.5;96380.51;145886.76
CSCH-2024;1/12/2024;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;2282124.17;1616290.03;1685506.46;1238104.1;1796648.33
CSCH-2024;1/12/2024;        1300 -   REDES PRIMARIAS;OBRA;OBRA;;271944.05;;;363954.09
CSCH-2024;1/12/2024;        1400 -   OBRAS CIVILES;OBRA;OBRA;349058.8;39215.18;176718.38;364270.99;41131.34
CSCH-2024;1/12/2024;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;;;;7966.98;
CSCH-2024;1/12/2024;        1600 -   PTAP;OBRA;OBRA;222158.66;131110.82;190669.95;146698.59;145699.72
CSCH-2024;1/12/2024;        1700 -   PTAR;OBRA;OBRA;1278107.83;946181.49;843409.45;323074.27;1534092.09
CSCH-2024;1/12/2024;        1800 -   PUESTA EN MARCHA;OBRA;OBRA;;;;;
CSCH-2024;1/12/2024;        2100 -   INDIRECTOS;GENERALES;GENERALES;663740.42;;1028184.95;;
CSCH-2024;1/12/2024;        2200 -   GESTIÓN;GENERALES;GENERALES;69243.83;33860.63;35318.16;118303.63;103613.11
CSCH-2024;1/12/2024;        2300 -   OFICINA CENTRAL;GENERALES;GENERALES;95365.46;;1105935.07;;517639.67
CSCH-2024;1/12/2024;        2400 -   OTROS;GENERALES;GENERALES;;;17.12;;
CSCH-2024;1/12/2024;        TEMPORAL;GENERALES;GENERALES;;;1317.15;;
CSCH-2024;1/12/2024;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2024;1/12/2024;        4100 -   SOCIOS;SOCIOS;SOCIOS;336999.98;;10233.07;;
CSCH-2024;1/12/2024;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;297959.64;;
CSCH-2025;1/01/2025;        1100 -   PRELIMINARES;OBRA;OBRA;137664.65;196295.71;118592.7;96380.51;211927.27
CSCH-2025;1/01/2025;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;2579792.13;1640463.75;2403782.06;1388668.5;1868386.93
CSCH-2025;1/01/2025;        1300 -   REDES PRIMARIAS;OBRA;OBRA;575656.95;;302.99;49112.42;
CSCH-2025;1/01/2025;        1400 -   OBRAS CIVILES;OBRA;OBRA;333893.88;108279.71;73888.92;445983.77;116671.55
CSCH-2025;1/01/2025;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;;816.6;;16116.81;1039.25
CSCH-2025;1/01/2025;        1600 -   PTAP;OBRA;OBRA;214860.05;375399.88;393026.73;190013.74;444188.07
CSCH-2025;1/01/2025;        1700 -   PTAR;OBRA;OBRA;869194.34;1284602.55;1643226.47;2002827.9;1444408.78
CSCH-2025;1/01/2025;        1800 -   PUESTA EN MARCHA;OBRA;OBRA;;;;;
CSCH-2025;1/01/2025;        2100 -   INDIRECTOS;GENERALES;GENERALES;661387.63;;889723.72;;
CSCH-2025;1/01/2025;        2200 -   GESTIÓN;GENERALES;GENERALES;69243.83;31547.43;19687.78;128331.33;118111.57
CSCH-2025;1/01/2025;        2300 -   OFICINA CENTRAL;GENERALES;GENERALES;95365.46;;34481.85;;525778.65
CSCH-2025;1/01/2025;        2400 -   OTROS;GENERALES;GENERALES;;;51716.57;;
CSCH-2025;1/01/2025;        TEMPORAL;GENERALES;GENERALES;;;428277.85;;
CSCH-2025;1/01/2025;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2025;1/01/2025;        4100 -   SOCIOS;SOCIOS;SOCIOS;24999.98;;;;
CSCH-2025;1/01/2025;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;159792.6;;
CSCH-2025;1/02/2025;        1100 -   PRELIMINARES;OBRA;OBRA;86680.19;110228.85;168659.51;87053.81;118978.34
CSCH-2025;1/02/2025;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;2374767.03;1457780.82;2208483.82;849010.19;1688388.78
CSCH-2025;1/02/2025;        1300 -   REDES PRIMARIAS;OBRA;OBRA;702337.63;444519.67;156438.64;216540.62;562101.47
CSCH-2025;1/02/2025;        1400 -   OBRAS CIVILES;OBRA;OBRA;558332.69;376396.79;200374.45;954375.12;465087.46
CSCH-2025;1/02/2025;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;;1244.16;;;1585.25
CSCH-2025;1/02/2025;        1600 -   PTAP;OBRA;OBRA;159266.1;149052.99;396908.76;105687.06;175293.51
CSCH-2025;1/02/2025;        1700 -   PTAR;OBRA;OBRA;733027.39;1341343.88;2313798.98;1520096.86;1496364.15
CSCH-2025;1/02/2025;        1800 -   PUESTA EN MARCHA;OBRA;OBRA;;;;;
CSCH-2025;1/02/2025;        2100 -   INDIRECTOS;GENERALES;GENERALES;669009.88;;935280.36;;
CSCH-2025;1/02/2025;        2200 -   GESTIÓN;GENERALES;GENERALES;69243.83;27295.88;25458.81;112165.93;91094.06
CSCH-2025;1/02/2025;        2300 -   OFICINA CENTRAL;GENERALES;GENERALES;95365.46;;296371.94;;579495.98
CSCH-2025;1/02/2025;        2400 -   OTROS;GENERALES;GENERALES;;;;;
CSCH-2025;1/02/2025;        TEMPORAL;GENERALES;GENERALES;;;;;
CSCH-2025;1/02/2025;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2025;1/02/2025;        4100 -   SOCIOS;SOCIOS;SOCIOS;24999.98;;;;
CSCH-2025;1/02/2025;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;40387.49;;
CSCH-2025;1/03/2025;        1100 -   PRELIMINARES;OBRA;OBRA;93903.98;63137.96;166771.02;96380.51;65835.64
CSCH-2025;1/03/2025;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;1523494.04;1134294.59;1953818.74;2063870.37;1340461.33
CSCH-2025;1/03/2025;        1300 -   REDES PRIMARIAS;OBRA;OBRA;1342739.61;88789.71;535764.92;309581.11;93540.73
CSCH-2025;1/03/2025;        1400 -   OBRAS CIVILES;OBRA;OBRA;699134.32;581879.74;737469.3;658226.67;703134.87
CSCH-2025;1/03/2025;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;;;;;
CSCH-2025;1/03/2025;        1600 -   PTAP;OBRA;OBRA;172538.28;156316.73;292328.52;216243.6;182162.65
CSCH-2025;1/03/2025;        1700 -   PTAR;OBRA;OBRA;895635.3;1984649.67;2019871.54;1367457.01;2194563.48
CSCH-2025;1/03/2025;        1800 -   PUESTA EN MARCHA;OBRA;OBRA;;;;;
CSCH-2025;1/03/2025;        2100 -   INDIRECTOS;GENERALES;GENERALES;666046.84;;870709.92;;
CSCH-2025;1/03/2025;        2200 -   GESTIÓN;GENERALES;GENERALES;69243.83;37135.25;23999.18;125427.63;124804.01
CSCH-2025;1/03/2025;        2300 -   OFICINA CENTRAL;GENERALES;GENERALES;95365.46;;375675.82;;589262.77
CSCH-2025;1/03/2025;        2400 -   OTROS;GENERALES;GENERALES;;;;;
CSCH-2025;1/03/2025;        TEMPORAL;GENERALES;GENERALES;;;;;
CSCH-2025;1/03/2025;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2025;1/03/2025;        4100 -   SOCIOS;SOCIOS;SOCIOS;24999.98;;;;
CSCH-2025;1/03/2025;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;308133.53;;
CSCH-2025;1/04/2025;        1100 -   PRELIMINARES;OBRA;OBRA;83069.42;;103573.12;93271.09;55040.74
CSCH-2025;1/04/2025;        1200 -   REDES SECUNDARIAS;OBRA;OBRA;1478557.03;;1608766.55;1758241.86;1394086.21
CSCH-2025;1/04/2025;        1300 -   REDES PRIMARIAS;OBRA;OBRA;1030127.19;;593411.62;953464.58;297068.78
CSCH-2025;1/04/2025;        1400 -   OBRAS CIVILES;OBRA;OBRA;707490.24;;445120.28;592760.45;594203.34
CSCH-2025;1/04/2025;        1500 -   EQUIPAMIENTO HIDRAULICO Y ELECTRICO;OBRA;OBRA;;;;42525.59;
CSCH-2025;1/04/2025;        1600 -   PTAP;OBRA;OBRA;152630.03;;332037.02;418652.02;250761.14
CSCH-2025;1/04/2025;        1700 -   PTAR;OBRA;OBRA;885535.81;;1351236.48;1131579.2;1235269.65
CSCH-2025;1/04/2025;        1800 -   PUESTA EN MARCHA;OBRA;OBRA;;;;;
CSCH-2025;1/04/2025;        2100 -   INDIRECTOS;GENERALES;GENERALES;677719.07;;846080.36;;
CSCH-2025;1/04/2025;        2200 -   GESTIÓN;GENERALES;GENERALES;56087.43;;1582.55;131982.5;104862.76
CSCH-2025;1/04/2025;        2300 -   OFICINA CENTRAL;GENERALES;GENERALES;95365.46;;13874.8;;491594.91
CSCH-2025;1/04/2025;        2400 -   OTROS;GENERALES;GENERALES;;;42482.6;;
CSCH-2025;1/04/2025;        TEMPORAL;GENERALES;GENERALES;;;;;
CSCH-2025;1/04/2025;        3100 -   IMPUESTOS;IMPUESTOS;IMPUESTOS;;;;;
CSCH-2025;1/04/2025;        4100 -   SOCIOS;SOCIOS;SOCIOS;24999.98;;;;
CSCH-2025;1/04/2025;        5100 -   VICIOS OCULTOS;VICIOS OCULTOS;VICIOS OCULTOS;143895.08;;157888.47;;
